iter	Passed	Remaining
437	1600	2053
438	1603	2048
439	1606	2044
440	1609	2039
441	1618	2043
442	1621	2038
443	1623	2032
444	1625	2027
445	1627	2021
446	1631	2018
447	1633	2013
448	1636	2007
449	1638	2002
450	1640	1997
451	1642	1991
452	1647	1989
453	1649	1983
454	1651	1978
455	1653	1972
456	1655	1966
457	1657	1960
458	1660	1956
459	1663	1952
460	1665	1947
461	1667	1941
462	1669	1936
463	1671	1931
464	1674	1926
465	1677	1922
466	1679	1916
467	1681	1911
468	1683	1906
469	1685	1901
470	1688	1895
471	1695	1896
472	1698	1892
473	1700	1887
474	1702	1881
475	1706	1878
476	1708	1873
477	1710	1868
478	1712	1862
479	1714	1857
480	1716	1851
481	1718	1847
482	1722	1843
483	1724	1838
484	1726	1832
485	1728	1827
486	1729	1822
487	1731	1816
488	1736	1814
489	1741	1812
490	1746	1810
491	1753	1810
492	1761	1811
493	1776	1819
494	1784	1820
495	1787	1816
496	1790	1811
497	1792	1806
498	1797	1804
499	1800	1800
500	1802	1795
501	1804	1789
502	1806	1784
503	1808	1780
504	1811	1775
505	1813	1770
506	1815	1765
507	1817	1760
508	1819	1755
509	1821	1750
510	1825	1746
511	1827	1741
512	1829	1736
513	1831	1731
514	1833	1726
515	1835	1721
516	1837	1716
517	1839	1711
518	1841	1706
519	1843	1701
520	1845	1696
521	1847	1691
522	1849	1686
523	1851	1681
524	1853	1676
525	1855	1671
526	1857	1667
527	1859	1662
528	1861	1657
529	1863	1652
530	1865	1647
531	1867	1642
532	1869	1638
533	1871	1633
534	1873	1628
535	1874	1623
536	1876	1617
537	1878	1612
538	1879	1607
539	1881	1602
540	1882	1597
541	1885	1593
542	1886	1588
543	1888	1583
544	1890	1578
545	1891	1573
546	1893	1568
547	1895	1563
548	1896	1558
549	1899	1554
550	1902	1549
551	1904	1545
552	1906	1540
553	1910	1537
554	1912	1533
555	1914	1529
556	1916	1524
557	1918	1519
558	1920	1514
559	1921	1509
560	1923	1504
561	1924	1499
562	1926	1495
563	1928	1490
564	1929	1485
565	1932	1481
566	1933	1476
567	1935	1471
568	1936	1467
569	1938	1462
570	1940	1457
571	1941	1452
572	1943	1448
573	1945	1443
574	1946	1439
575	1948	1434
576	1950	1429
577	1951	1425
578	1953	1420
579	1955	1416
580	1959	1413
581	1962	1409
582	1964	1405
583	1966	1401
584	1968	1396
585	1970	1392
586	1972	1387
587	1974	1383
588	1976	1378
589	1977	1374
590	1979	1369
591	1980	1365
592	1982	1360
593	1984	1356
594	1985	1351
595	1987	1347
596	1988	1342
597	1990	1337
598	1991	1333
599	1993	1328
600	1995	1324
601	1996	1320
602	1999	1316
603	2001	1311
604	2002	1307
605	2004	1303
606	2005	1298
607	2007	1294
608	2008	1289
609	2010	1285
610	2011	1280
611	2013	1276
612	2014	1271
613	2016	1267
614	2018	1263
615	2019	1259
616	2021	1254
617	2023	1250
618	2024	1246
619	2026	1241
620	2027	1237
621	2029	1233
622	2030	1228
623	2032	1224
624	2034	1220
625	2035	1216
626	2038	1212
627	2040	1208
628	2042	1204
629	2047	1202
630	2049	1198
631	2051	1194
632	2053	1190
633	2054	1186
634	2056	1182
635	2058	1178
636	2060	1173
637	2062	1170
638	2064	1166
639	2066	1162
640	2067	1158
641	2069	1154
642	2071	1149
643	2072	1145
644	2074	1141
645	2076	1137
646	2077	1133
647	2079	1129
648	2081	1125
649	2082	1121
650	2084	1117
651	2085	1113
652	2087	1109
653	2088	1105
654	2090	1101
655	2092	1097
656	2094	1093
657	2096	1089
658	2097	1085
659	2099	1081
660	2101	1077
661	2103	1074
662	2106	1070
663	2107	1066
664	2109	1062
665	2111	1058
666	2112	1054
667	2114	1050
668	2116	1047
669	2117	1043
670	2119	1039
671	2121	1035
672	2122	1031
673	2124	1027
674	2126	1023
675	2128	1019
676	2129	1016
677	2131	1012
678	2132	1008
679	2134	1004
680	2136	1000
681	2137	996
682	2139	992
683	2140	989
684	2142	985
685	2144	981
686	2146	977
687	2147	973
688	2149	970
689	2151	966
690	2153	962
691	2155	959
692	2157	955
693	2159	952
694	2161	948
695	2163	944
696	2165	941
697	2166	937
698	2168	933
699	2170	930
700	2172	926
701	2174	922
702	2175	919
703	2177	915
704	2179	911
705	2180	907
706	2182	904
707	2184	900
708	2185	897
709	2190	894
710	2191	890
711	2193	887
712	2195	883
713	2196	879
714	2198	876
715	2199	872
716	2202	869
717	2205	866
718	2208	862
719	2210	859
720	2212	856
721	2213	852
722	2215	848
723	2217	845
724	2219	841
725	2221	838
726	2223	834
727	2224	831
728	2226	827
729	2229	824
730	2230	820
731	2232	817
732	2235	814
733	2238	811
734	2239	807
735	2241	804
736	2243	800
737	2245	797
738	2246	793
739	2248	790
740	2250	786
741	2251	782
742	2253	779
743	2258	776
744	2261	773
745	2264	770
746	2269	768
747	2272	765
748	2276	762
749	2279	759
750	2282	756
751	2287	754
752	2290	751
753	2294	748
754	2296	745
755	2299	742
756	2302	739
757	2306	736
758	2308	733
759	2312	730
760	2315	727
761	2319	724
762	2326	722
763	2329	719
764	2333	716
765	2341	715
766	2349	713
767	2352	710
768	2354	707
769	2357	704
770	2360	701
771	2363	698
772	2366	695
773	2370	692
774	2373	688
775	2375	685
776	2378	682
777	2381	679
778	2384	676
779	2388	673
780	2392	671
781	2401	669
782	2404	666
783	2411	664
784	2414	661
785	2420	658
786	2422	655
787	2425	652
788	2429	649
789	2432	646
790	2434	643
791	2438	640
792	2441	637
793	2444	634
794	2451	632
795	2454	629
796	2458	626
797	2461	623
798	2464	619
799	2467	616
800	2470	613
801	2473	610
802	2475	607
803	2477	603
804	2480	600
805	2483	597
806	2486	594
807	2489	591
808	2494	588
809	2498	585
810	2502	583
811	2504	579
812	2507	576
813	2515	574
814	2519	571
815	2521	568
816	2524	565
817	2526	562
818	2529	559
819	2532	556
820	2535	552
821	2538	549
822	2541	546
823	2543	543
824	2546	540
825	2548	536
826	2550	533
827	2552	530
828	2555	527
829	2557	523
830	2560	520
831	2562	517
832	2566	514
833	2571	511
834	2577	509
835	2584	506
836	2591	504
837	2595	501
838	2598	498
839	2605	496
840	2611	493
841	2614	490
842	2617	487
843	2623	484
844	2626	481
845	2629	478
846	2643	477
847	2648	474
848	2650	471
849	2654	468
850	2658	465
851	2660	462
852	2663	458
853	2665	455
854	2670	452
855	2673	449
856	2677	446
857	2682	443
858	2685	440
859	2691	438
860	2694	434
861	2697	431
862	2704	429
863	2709	426
864	2713	423
865	2720	420
866	2723	417
867	2727	414
868	2731	411
869	2734	408
870	2736	405
871	2740	402
872	2742	398
873	2744	395
874	2747	392
875	2749	389
876	2751	385
877	2753	382
878	2754	379
879	2756	375
880	2758	372
881	2759	369
882	2762	365
883	2763	362
884	2765	359
885	2767	356
886	2768	352
887	2770	349
888	2772	346
889	2774	342
890	2776	339
891	2777	336
892	2779	333
893	2781	329
894	2782	326
895	2784	323
896	2786	319
897	2787	316
898	2795	314
899	2798	310
900	2801	307
901	2803	304
902	2808	301
903	2810	298
904	2812	295
905	2814	291
906	2815	288
907	2818	285
908	2823	282
909	2825	279
910	2828	276
911	2830	273
912	2832	269
913	2833	266
914	2835	263
915	2837	260
916	2839	256
917	2840	253
918	2841	250
919	2843	247
920	2844	244
921	2846	240
922	2847	237
923	2849	234
924	2850	231
925	2852	227
926	2853	224
927	2855	221
928	2856	218
929	2857	215
930	2858	211
931	2860	208
932	2861	205
933	2862	202
934	2863	199
935	2865	195
936	2866	192
937	2867	189
938	2868	186
939	2870	183
940	2871	180
941	2873	176
942	2875	173
943	2876	170
944	2877	167
945	2879	164
946	2880	161
947	2881	158
948	2883	154
949	2884	151
950	2886	148
951	2887	145
952	2889	142
953	2890	139
954	2891	136
955	2893	133
956	2894	130
957	2895	126
958	2897	123
959	2898	120
960	2899	117
961	2901	114
962	2902	111
963	2903	108
964	2905	105
965	2906	102
966	2907	99
967	2909	96
968	2910	93
969	2911	90
970	2912	86
971	2914	83
972	2915	80
973	2916	77
974	2918	74
975	2919	71
976	2920	68
977	2921	65
978	2923	62
979	2924	59
980	2925	56
981	2927	53
982	2928	50
983	2929	47
984	2931	44
985	2932	41
986	2933	38
987	2934	35
988	2936	32
989	2937	29
990	2938	26
991	2939	23
992	2941	20
993	2942	17
994	2943	14
995	2945	11
996	2946	8
997	2947	5
998	2948	2
999	2950	0
